,funds,stock_count,total_assets
0,10000.0,0.0,10000.0
1,9019.125,19.0,10000.0
2,9163.365,16.0,9932.645
3,8249.345,39.0,9799.205
4,8553.425,32.0,9943.505
5,8759.974999999999,26.0,9655.024999999998
6,7885.624999999998,55.0,9543.874999999998
7,8193.899999999998,44.0,9426.999999999998
8,8380.739999999998,36.0,9221.519999999999
9,8939.759999999998,15.0,9339.059999999998
10,8047.439999999999,48.0,9345.359999999999
