,funds,index,stock_count,total_assets
0,10000.0,0,0,10000.0
1,8506.72,0,144,10000.0
2,7370.969999999999,1,254,9993.519999999999
3,5567.459999999999,2,428,10003.68
4,4485.4349999999995,3,533,9978.0
5,5237.7,4,460,9978.0
6,6374.895,5,349,9950.400000000001
7,7218.265,6,267,9964.36
8,7813.345,7,209,9957.685000000001
9,5702.870000000001,8,414,9965.0
10,6542.140000000001,9,332,9940.160000000002
11,5232.060000000001,10,460,9940.16
12,3831.9200000000014,11,597,9933.26
13,4968.560000000001,12,486,9945.2
14,6084.720000000001,13,377,9945.2
15,6897.090000000001,14,299,10011.175000000001
16,7379.8600000000015,15,253,10035.095000000001
17,6021.3600000000015,16,383,10023.710000000001
18,7078.325000000002,17,282,10029.455000000002
19,7676.255000000002,18,225,10036.505000000001
20,5701.315000000002,19,413,10039.880000000001
21,6173.815000000002,20,368,10037.815000000002
22,7182.6150000000025,21,271,10001.015000000003
23,7908.165000000003,22,201,9991.530000000002
24,8303.365000000003,23,163,9998.565000000004
25,8543.185000000003,24,135,9699.460000000003
26,7582.7850000000035,25,247,9700.810000000003
27,6261.465000000004,26,401,9702.045000000004
28,7217.730000000004,27,290,9716.080000000004
29,7607.2050000000045,28,245,9727.680000000004
30,8066.450000000004,29,192,9730.130000000005
31,8298.920000000004,30,165,9719.570000000003
32,8539.440000000004,31,137,9716.270000000004
33,8840.440000000004,32,102,9717.640000000005
34,9082.780000000004,33,74,9723.250000000004
35,9143.680000000004,34,67,9726.580000000004
36,9222.025000000003,35,58,9726.915000000003
37,9327.205000000004,36,46,9730.395000000004
38,9415.205000000004,37,36,9732.005000000003
39,9476.735000000004,38,29,9731.645000000004
40,8152.465000000004,39,180,9731.065000000004
41,6601.945000000003,40,357,9729.265000000003
42,4822.650000000003,41,560,9731.050000000003
43,4082.1900000000032,42,644,9759.050000000003
44,2900.1300000000033,43,776,9849.210000000003
45,3598.6200000000035,44,698,9849.210000000003
46,4968.735000000003,45,545,9849.210000000003
47,4039.1600000000035,46,648,9887.360000000004
48,3454.1600000000035,47,713,9871.160000000003
49,2996.6900000000037,48,764,9849.770000000002
50,2439.930000000004,49,826,9857.410000000003
51,3872.730000000004,50,666,9836.760000000004
52,3121.350000000004,51,750,9830.100000000004
53,3908.265000000004,52,663,9905.100000000004
54,3194.105000000004,53,742,9901.785000000003
55,2751.145000000004,54,791,9901.785000000003
56,3783.400000000004,55,678,9976.930000000004
57,4597.840000000004,56,590,10058.290000000005
58,3418.320000000004,57,718,10034.690000000004
59,5135.915000000004,58,531,10013.150000000005
60,6258.735000000003,59,407,9944.120000000003
61,4745.055000000003,60,575,9925.805000000004
62,3358.875000000003,61,728,9954.555000000002
63,2538.975000000003,62,818,9990.955000000002
